id,breed
000bec180eb18c7604dcecc8fe0dba07,boston_bull
001513dfcb2ffafc82cccf4d8bbaba97,dingo
001cdf01b096e06d78e9e5112d419397,pekinese
00214f311d5d2247d5dfe4fe24b2303d,bluetick
0021f9ceb3235effd7fcde7f7538ed62,golden_retriever
003df8b8a8b05244b1d920bb6cf451f9,basenji
0042188c895a2f14ef64a918ed9c7b64,scottish_deerhound
004396df1acd0f1247b740ca2b14616e,shetland_sheepdog
0067dc3eab0b3c3ef0439477624d85d6,walker_hound
00693b8bc2470375cc744a6391d397ec,maltese_dog
006cc3ddb9dc1bd827479569fcdc52dc,bluetick
0075dc49dab4024d12fafe67074d8a81,norfolk_terrier
007b8a07882822475a4ce6581e70b1f8,redbone
008887054b18ba3c7601792b6a453cc3,boxer
008ba178d6dfc1a583617470d19c1673,otterhound
009509be3ca7cce0ff9e37c8b09b1125,otterhound
00a338a92e4e7bf543340dc849230e75,dingo
00a366d4b4a9bbb6c8a63126697b7656,golden_retriever
00cc68a50b2d016a6b29af628ea4e04b,labrador_retriever
00ddcec076073cc96f82c27bf4548fbc,ibizan_hound
00f34ac0a16ef43e6fd1de49a26081ce,walker_hound
0100f55e4f0fe28f2c0465d3fc4b9897,golden_retriever
010d65bd29d246aea53d9849da142ccf,boston_bull
0120343862761d052d6a7ade81625c94,dingo
013aed490e0e15a8989e12ae0d0ccfaa,border_terrier
013f8fdf6d638c7bb042f5f17e8a9fdc,tibetan_terrier
015b363b062f602e7ec04ce28e640d05,walker_hound
01680178ca6664294efb493a46014a82,irish_terrier
0177a92a906192bfde8adbb8a237e524,greater_swiss_mountain_dog
019c92d1ff56deb9d75d809a92bc84d8,schipperke
01a41985ab8209e750588fa348d635be,appenzeller
01b6c2bd3053535a58d8de763cf06aa0,miniature_schnauzer
01d0f3692e576b3cde511285352aed4a,kelpie
01e4d3d1cb704ed819bce35d22e716a7,appenzeller
01e787576c003930f96c966f9c3e1d44,scottish_deerhound
01f397f16fb2d7d76fdbce4e2207c1a3,collie
01f429667104c0c5a5f321700f15435c,malamute
01f8540fb1084107a6eb3e528f82c1aa,welsh_springer_spaniel
0206c12e8984e3c8a166cc272de25d6f,chihuahua
0207803a6ce1bfad98e7f095c965e44a,border_terrier
020ecfccf3c900b01ce831abbf20b485,saluki
0229677aec75183a16de9d6f6658fae2,irish_terrier
022b34fd8734b39995a9f38a4f3e7b6b,maltese_dog
025bab46ddcde249d5c52c660fea6d26,boxer
0264c5fcaaba5e31082395476447b254,komondor
0267c5f1acbab52ae4a7927e0398612b,airedale
0287b3374c33346e2b41f73af3a36261,leonberg
0296633efc21006e3ce2af7eaeff04f7,irish_terrier
02a3edc1d6aae095185131fe185478e0,saluki
02a8ed20109bd62bd5894f276c08c8a2,leonberg
02ad779f2721db9364d3bb68f5580582,bull_mastiff
02b1c50fb7315423a664f3ce68c94e30,dingo
02c90d8109d9a48739b9887349d92b1f,airedale
02d45a238621c3f2cbde5c1d173ead1e,bull_mastiff
02d54f0dfb40038765e838459ae8c956,bernese_mountain_dog
02df8523833c432f90071f86dff69a8f,bluetick
02dfcd0a24a9c41070f4f94b4c9933ff,irish_terrier
02e7b5a86cec57f5935374946d4f5dc1,irish_terrier
02ef5f19db8cf4da62016a1067bdc548,welsh_springer_spaniel
02f07e7e51662336a9d8c775a4eac5f4,miniature_schnauzer
02f6152a9401568d695234d33bb6c37d,miniature_schnauzer
02ff77af410e966b7b661f6f0789d947,golden_retriever
0314048edbd08c8c50eb3c93281bd043,pekinese
031d3353588a81b42bcae74ff19571b0,cardigan
0326344e0d5181130c28d25edd5627e4,clumber
03564fbb4aba93dd80e5c7cd76f28d28,walker_hound
035fe39454c2ddb2f6a37146cacf0ac0,border_terrier
0379145880ad3978f9b80f0dc2c03fba,afghan_hound
039e61713398f27d027480e4bd0056d1,leonberg
03b7320cf8054e57b499e01d1cde0644,walker_hound
03b9ab173e5862580909fee10f0ea46d,miniature_pinscher
03bda5c85206a273eb978c7b9483df5f,eskimo_dog
03ca2c79345f4c27232ed5b0dc2821c2,otterhound
03dc61595ad9dbf49e3998cf586ca8cb,scottish_deerhound
03dd99e068f1f2283011cc305f5aaa9f,irish_wolfhound
03ddfa6f292b49e14ed6be5c58246701,malamute
03dfefdb2939388f7ca9578cb7c4a2b9,maltese_dog
03e1d2ee5fd90aef036c90a9e7f81177,bernese_mountain_dog
03eb844e1d5aa5addaab20298b1b70c3,greater_swiss_mountain_dog
03f5b638b8f1c83d3097786e40992ff9,toy_terrier
04254919cc15c6867cccfd738a926999,walker_hound
042e83e82315bada78f2681d030b0d28,bull_mastiff
042ecd9a978c2ee48d17f7f781621ac9,collie
0440acb104d7346ccc9bba0716603f6a,norwich_terrier
0440e760e55c4d6bed536fbc0273801a,soft-coated_wheaten_terrier
044f7e60953230fa45e4367073d96693,clumber
0450c3899b7ca7cac31406a52c7bc74e,soft-coated_wheaten_terrier
0457342c36e7e7d103fa4b286a1d62f8,english_foxhound
045ea2f41120606e2c5ae1315cebfb46,siberian_husky
047d9a7dc7205c76e5487d6fc5f4a666,ibizan_hound
0490b67cb414d527d6c21052b1e3b5dd,welsh_springer_spaniel
0496d4170e295688e8d6929b239dd4fb,border_terrier
049a406bfac63012d757167c084ced1b,siberian_husky
04a3f5dc6d985601f354ab4434645d83,greater_swiss_mountain_dog
04b5834c3a969c6308ce157c547bb313,basenji
04be608c9c005d9aa0224fe08554e4be,siberian_husky
04cce0cd53c6f01d242a49e43de513a1,clumber
04d4918090b0c2a7b965ff58f13b2ecf,cardigan
04d50b0dce8b8ee9544d9602df85f722,bluetick
04d6fe2d5ad29be79083e5c9cf3d9b0d,welsh_springer_spaniel
04e370c8510638ca969a716822444085,komondor
04e3bb77c15c18fc1ac101d86d612f46,miniature_pinscher
04ea8788cfa17d01c87ea4cdaa0a330d,briard
04f9e2da4b6f5adb9b9d62eba66ba991,airedale
04fab70baaf7cd53f8bf78225dbf5409,walker_hound
04fb4d719e9fe2b6ffe32d9ae7be8a22,bernese_mountain_dog
050073020e80e4935b53df8d786c8612,dandie_dinmont
05134ea3341a1f4f460168e68ec5765d,bernese_mountain_dog
053106ed091eac5e129225315ef6cfcb,maltese_dog
0566a60d7504a6fad4161d0ef2765a34,beagle
0569f1d79637070f70ca4a62ec510792,saluki
056b535b441278e83839984f1b1da0a6,scottish_deerhound
05719b998e57a11b863a322ecc7652a5,scottish_deerhound
0581b47e4c3890fb74a5485aa4d008f0,irish_terrier
058d4bfce39c9f1157ca4c1b019bbf1a,scottish_deerhound
058ea5b467d08ed978658dc1ad85fb7d,maltese_dog
05934390044791b8fd2dd2ba9c0b4b36,appenzeller
059513b85ae976a6f591f71bbaae49bf,eskimo_dog
059a86d50634c78d5a18f918cb0b3f0d,afghan_hound
05a747c5853defa2420b976a9c0918a2,bluetick
05cab78114abb08afcda78ee70222edd,english_foxhound
05d6e6de49a6999e56de23c4608af441,saluki
05e93a5604440b065143c81be16cd395,whippet
05f59d40acf74affda3c8940ba192f42,leonberg
05fbe54802ffb6d6256abb93381f5cf4,appenzeller
060b163b5ad74c889c47b9f421825cdb,dingo
061592707868d5ced7ee050cb383072d,soft-coated_wheaten_terrier
061a378e68e8734682ea9c04a572e2ab,norwich_terrier
061e9891cd5e77345e3cff761c12db4d,norfolk_terrier
06412667e714332186d0cf86375e98fb,border_terrier
06448bf4366760660b6a7611d93d7533,bernese_mountain_dog
06538c8ad646eb2ebbbbdda1c8174899,afghan_hound
0672befac9ea0c8fe82c37b5a634d87c,welsh_springer_spaniel
068314c65cbe67fa4f57283f4f3a801c,standard_poodle
0685bcc6cdaa954771379d95d339baf6,pekinese
06d2d84b936225e6c853a0453cb9c878,redbone
06d80d6a7aba8bc48606a285bbad0697,boxer
06faa041b335551e3ccf3c239d006425,basenji
06fe22a92fa8dc8f90e7a0f118acad6f,bernese_mountain_dog
0700d58c82bafe9c4edc81f902178e76,airedale
07096719a671e1737b829bd1a88f1dbf,english_foxhound
071652f5f5d0bf00983c075e96ad725f,japanese_spaniel
072aa9d6100187288ef00316c8bcdd66,soft-coated_wheaten_terrier
073f0821a0842917e6e97ab322bd63f2,basenji
07466e87275ed10056a9d2cbb4c733d8,leonberg
0755a940eac9a9b8cf0328b4be062096,boston_bull
075a28044780636f48d8571f1d32f73d,bull_mastiff
0769e276e8b9b992a3fcd6a10deee6a7,bernese_mountain_dog
076d31a2f676671e4427cc485b9d2918,clumber
07751d1687e0233ff638889d8b365709,whippet
0779e164a5bed1119e36e622107c6a77,pomeranian
079a7ad36b46704c28d88c4aa183c28e,english_foxhound
079e17a742380d333950962f2c83ffd2,dingo
079f6255a19fdbaa75fb2a902bca894c,clumber
07a0214fa84969b5256bf7d20f1b3a9b,siberian_husky
07a4fcb31d0c6259f5ec21a1f193bc39,irish_terrier
07bbf36ce2c7407751219804b3d187ec,yorkshire_terrier
07c7389196b5dde668d740089f9ebc22,boxer
07d7cfbdbd3682cae50902b53c798028,boston_bull
07ddc3c2188164b1e72ae6615a24419a,airedale
07ebe25829d387cef30160285d50e232,labrador_retriever
07eeb2ef42c6b260684e8cb8e8c4ba70,tibetan_terrier
07f1b6214597af2f04a27c375a602a0c,otterhound
080073330bb8954505340cf18159fbb8,shetland_sheepdog
08098e0a4074f62169ab53f7efe40da2,pomeranian
080ebefee69f27243b185c113052963e,cardigan
080ec59213ed7425b7f8c169955bb9d0,japanese_spaniel
081ee1793b0e0027f8cccf9dc4513d53,miniature_pinscher
0822709f6f6ea0be1928f52b8eecbc2f,cardigan
0825e8471e3c9a14dc341bdd8630f05e,golden_retriever
083820e6dda52da4c0f200ac36f582dc,yorkshire_terrier
084c4f43ecc2630587de6c3e543525c3,shetland_sheepdog
084f941981c326f26ea77158fb449c57,pekinese
08571d6bb5ecf6c9b7a145dc24043088,dandie_dinmont
0857307dddb1b41288887ef2338af6df,collie
085b26edb3ee9688d41c4293aafe0162,irish_wolfhound
0861355ea326a82de3aab420d4276e5b,whippet
08644ddaf5a3ca7f08fcab7561ec4eea,bernese_mountain_dog
087b211f15ad8095ba90c0be54c1c30d,great_dane
08829c00da02dea80eb491122989492f,afghan_hound
0891ce3700686a8df5b4bd711be44ea9,kelpie
08946697b3e50e602d6bea765c8fb9f5,scottish_deerhound
089fd270df9e42e3f741452a4e437dc5,chihuahua
08af52c888b0f5735c3ced810771601d,blenheim_spaniel
08b49c79fafad70a23c770b1fcaa89ba,komondor
08e4013c0ddc710c57d1d188bf7c0cfe,blenheim_spaniel
08e99ed86b0ce429fef52a8ca33e1551,eskimo_dog
08ed3bf636ad906f5ddea9ebda22ff98,briard
09037f0995111a413fd8e976f3680f09,redbone
09288e5c39391b780412561163b10bf5,afghan_hound
092c2cdbf133b201d7d56969bfbcc8f6,miniature_schnauzer
09438173067ccee8d4a1a45f2f8a8eb6,redbone
0943d1d4677ab876b52468096baaa2ce,english_foxhound
0944fbca92fad9a38af10b3d1943cb54,miniature_pinscher
094b97e52d00895fbf6769724e1b0e7d,miniature_pinscher
0959e919604a931fc1ae379b7a75911a,irish_wolfhound
095d868f796f86c8258750365a04f2cd,japanese_spaniel
0964e161b379740955fa95d8d4c8697e,sussex_spaniel
0974b614b86b829821067bd0b1808b8c,ibizan_hound
097ef8eca8fc340249b0bbc2b745972c,blenheim_spaniel
098c50d7ba4f07d9aba8c6162aa70b50,shetland_sheepdog
098c722479a8288c57b545781d5c54bd,german_short-haired_pointer
098dc5e173d21c229e6ee565d7666b10,whippet
0990fe6be15d9d556eac8712db3c8094,basenji
099b068027c41251d29f75a311cc5e5c,french_bulldog
09aec2a169942b17d88b4b5f1bba5886,bluetick
09c62a1ff26b3e83a2d476c2add054b1,afghan_hound
09c986f317783fb5ae091b334e79ac5a,pomeranian
09d462e2ad4d8c51d1a8430577891d8a,irish_terrier
09d497888fd1e6745f67a78269139620,malamute
09d5ac8026b8a7f7d1acae244765fe24,airedale
09ea184490e5da33eb3d851ee6361941,redbone
